Symbol,Company Name,NSE Macro Sector,NSE Sector,NSE Industry,Heatmap Sector
SAMMAANCAP,Sammaan Capital Limited,Financial Services,Finance,Financial Services,Banking & Finance
SAMPANN,Sampann Utpadan India Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
SANATHAN,Sanathan Textiles Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SANCO,Sanco Industries Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
SANDESH,The Sandesh Limited,Communication Services,Media,Publishing,Media & Telecom
SANDHAR,Sandhar Technologies Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SANDUMA,Sandur Manganese & Iron Ores Limited,Basic Materials,Metals,Steel,Metals & Mining
SANGAMIND,Sangam (India) Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SANGHIIND,Sanghi Industries Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
SANGHVIMOV,Sanghvi Movers Limited,Industrials,Services,Rental & Leasing Services,Services
SANGINITA,Sanginita Chemicals Limited,Basic Materials,Chemicals,Chemicals,Chemicals
SANOFI,Sanofi India Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
SANOFICONR,Sanofi Consumer Healthcare India Limited,Healthcare,Pharma,Drug Manufacturers - General,Pharma & Healthcare
SANSERA,Sansera Engineering Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SANSTAR,Sanstar Limited,Basic Materials,Chemicals,Chemicals,Chemicals
SANWARIA,Sanwaria Consumer Limited,Consumer Defensive,FMCG,Farm Products,FMCG
SAPPHIRE,Sapphire Foods India Limited,Consumer Cyclical,Retail,Retail,Consumer Goods
SARDAEN,Sarda Energy & Minerals Limited,Basic Materials,Metals,Metals & Mining,Metals & Mining
SAREGAMA,Saregama India Limited,Communication Services,Media,Media & Entertainment,Media & Telecom
SARLAPOLY,Sarla Performance Fibers Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SARVESHWAR,Sarveshwar Foods Limited,Consumer Defensive,FMCG,Packaged Foods,FMCG
SASKEN,Sasken Technologies Limited,Technology,IT Services & Consulting,IT Services,IT
SASTASUNDR,Sastasundar Ventures Limited,Healthcare,Healthcare Services,Pharmaceutical Retailers,Pharma & Healthcare
SATIA,Satia Industries Limited,Basic Materials,Paper,Paper & Pulp,Paper & Pulp
SATIN,Satin Creditcare Network Limited,Financial Services,Finance,Non-Banking Finance,Banking & Finance
SAURASHCEM,Saurashtra Cement Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
SBC,SBC Exports Limited,Industrials,Diversified,Conglomerates,Capital Goods
SBCL,Shivalik Bimetal Controls Limited,Industrials,Capital Goods,Metal Fabrication,Capital Goods
SBFC,SBFC Finance Limited,Financial Services,Finance,Non-Banking Finance,Banking & Finance
SBGLP,Suratwwala Business Group Limited,Real Estate,Realty,Real Estate Development,Realty
SBICARD,SBI Cards and Payment Services Limited,Financial Services,Finance,Financial Services,Banking & Finance
SBILIFE,SBI Life Insurance Company Limited,Financial Services,Insurance,Insurance,Banking & Finance
SBIN,State Bank of India,Financial Services,Banking,Banks,Banking & Finance
SCHAEFFLER,Schaeffler India Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SCHAND,S Chand And Company Limited,Communication Services,Media,Publishing,Media & Telecom
SCHNEIDER,Schneider Electric Infrastructure Limited,Industrials,Capital Goods,Capital Goods,Capital Goods
SCI,Shipping Corporation Of India Limited,Industrials,Services,Diversified Services,Services
SCILAL,Shipping Corporation of India Land and Assets Limited,Real Estate,Realty,Real Estate Services,Realty
SCODATUBES,Scoda Tubes Limited,Basic Materials,Metals,Steel,Metals & Mining
SCPL,Sheetal Cool Products Limited,Consumer Defensive,FMCG,Packaged Foods,FMCG
SDBL,Som Distilleries & Breweries Limited,Consumer Defensive,FMCG,Beverages - Alcoholic,FMCG
SEAMECLTD,Seamec Limited,Industrials,Logistics,Marine Shipping,Logistics
SECMARK,SecMark Consultancy Limited,Industrials,Services,Consulting Services,Services
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,Technology,Software,Software - Application,IT
SEJALLTD,Sejal Glass Limited,Industrials,Capital Goods,Building Products & Equipment,Capital Goods
SELMC,SEL Manufacturing Company Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SEMAC,Semac Construction Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
SENCO,Senco Gold Limited,Consumer Cyclical,Retail,Jewellery,Consumer Goods
SENORES,Senores Pharmaceuticals Limited,Healthcare,Pharma,Drug Manufacturers - General,Pharma & Healthcare
SEPC,SEPC Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
SEQUENT,Sequent Scientific Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
SERVOTECH,Servotech Renewable Power System Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
SESHAPAPER,Seshasayee Paper and Boards Limited,Basic Materials,Paper,Paper & Pulp,Paper & Pulp
SETCO,Setco Automotive Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SETUINFRA,Setubandhan Infrastructure Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
SEYAIND,Seya Industries Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
SFL,Sheela Foam Limited,Consumer Cyclical,Consumer Goods,Furniture & Furnishing,Consumer Goods
SGFIN,SG Finserve Limited,Financial Services,Finance,Capital Markets,Banking & Finance
SGIL,Synergy Green Industries Limited,Industrials,Capital Goods,Metal Fabrication,Capital Goods
SGL,STL Global Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SGLTL,Standard Glass Lining Technology Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
SGMART,SG Mart Limited,Industrials,Distribution,Industrial Distribution,Capital Goods
SHAH,Shah Metacorp Limited,Basic Materials,Metals,Steel,Metals & Mining
SHAHALLOYS,Shah Alloys Limited,Basic Materials,Metals,Steel,Metals & Mining
SHAILY,Shaily Engineering Plastics Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
SHAKTIPUMP,Shakti Pumps (India) Limited,Industrials,Capital Goods,Industrial Machinery,Capital Goods
SHALBY,Shalby Limited,Healthcare,Healthcare Services,Medical Care Facilities,Pharma & Healthcare
SHALPAINTS,Shalimar Paints Limited,Basic Materials,Chemicals,Chemicals,Chemicals
SHANKARA,Shankara Building Products Limited,Consumer Cyclical,Retail,Home Improvement Retail,Consumer Goods
SHANTI,Shanti Overseas (India) Limited,Consumer Defensive,FMCG,Farm Products,FMCG
SHANTIGEAR,Shanthi Gears Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
SHANTIGOLD,Shanti Gold International Limited,Consumer Cyclical,Retail,Luxury Goods,Consumer Goods
SHARDACROP,Sharda Cropchem Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
SHARDAMOTR,Sharda Motor Industries Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SHAREINDIA,Share India Securities Limited,Financial Services,Finance,Capital Markets,Banking & Finance
